Index,Book Name,Author,Rating,Number of Votes,Score
1807,I Was Told It Would Get Easier,Abbi Waxman,3.70,"12,463",74
1808,The Soul of a Woman,Isabel Allende,4.03,"29,593",74
1809,The Psychology of Money,Morgan Housel,4.30,"217,965",74
1810,The Selected Works of Audre Lorde,Audre Lorde,4.62,"1,708",74
1811,"Sword in the Stars (Once & Future, #2)",A.R. Capetta,4.11,"2,784",74
1812,NSFW,Isabel Kaplan,3.48,"4,063",74
1813,The Making of Another Major Motion Picture Masterpiece,Tom Hanks,3.69,"15,905",74
1814,"A History of What Comes Next (Take Them to the Stars, #1)",Sylvain Neuvel,3.66,"5,104",74
1815,Velvet Was the Night,Silvia Moreno-Garcia,3.51,"28,164",74
1816,Better Than Expected,Haley Cass,4.22,"5,346",74
1817,"Eva Evergreen, Semi-Magical Witch (Eva Evergreen, #1)",Julie Abe,4.12,"3,732",74
1818,"Wicked Serve (Beyond the Play, #4)",Grace Reilly,3.99,"9,635",74
1819,The Reunion,Kayla Olson,3.49,"13,129",74
1820,I Have Some Questions for You,Rebecca Makkai,3.60,"119,719",74
1821,Lost in Thought: The Hidden Pleasures of an Intellectual Life,Zena Hitz,3.64,"1,481",73
1822,Three Words for Goodbye,Hazel Gaynor,4.04,"4,316",73
1823,A Brilliant Night of Stars and Ice,Rebecca Connolly,4.08,"3,974",73
1824,The Sweet Spot,Amy Poeppel,3.92,"13,077",73
1825,This Woman's Work: Essays on Music,Sinéad Gleeson,3.76,460,73
1826,"The Secret Lives of Country Gentlemen (The Doomsday Books, #1)",K.J. Charles,4.12,"11,003",73
1827,So Late in the Day: The Sunday Times bestseller,Claire Keegan,3.99,"17,252",73
1828,"Forging Silver into Stars (Forging Silver into Stars, #1)",Brigid Kemmerer,4.14,"8,774",73
1829,"Caged Wolf (Darkmore Penitentiary, #1)",Caroline Peckham,4.42,"17,871",73
1830,Lila and Hadley,Kody Keplinger,3.97,919,73
1831,Silverview,John Le Carré,3.66,"20,778",73
1832,The Deep Places: A Memoir of Illness and Discovery,Ross Douthat,4.01,"1,899",72
1833,The Last Grand Duchess,Bryn Turnbull,3.75,"2,887",72
1834,"Golden Chaos (Three Bears, #2; Cheeky Fairy Tales, #2)",Colette Rhodes,4.21,"3,054",72
1835,"Ordinary Monsters (The Talents Trilogy, #1)",J.M. Miro,3.79,"17,598",72
1836,Lone Women,Victor LaValle,3.71,"29,428",72
1837,Cosmoknights Book Two,Hannah Templer,4.58,"1,843",72
1838,Sherlock Holmes & The Three Winter Terrors,James Lovegrove,4.01,"1,512",72
1839,"A Stranger at the Door (Rachel Marin Thriller, #2)",Jason Pinter,4.18,"3,831",72
1840,The Shamshine Blind,Paz Pardo,3.53,"1,354",72
1841,"Alpha Wolf (Darkmore Penitentiary, #2)",Caroline Peckham,4.44,"15,449",72
1842,Disability Visibility: First-Person Stories from the Twenty-first Century,Alice Wong,4.47,"15,242",72
1843,Tardes de otoño,Joana Marcús,4.51,"30,844",72
1844,Joan,Katherine J. Chen,3.96,"7,562",72
1845,The Sea Glass Cottage,RaeAnne Thayne,4.10,"6,760",71
1846,Journey to the West: A Long March from Eastern Dream to Western Reality,Biao Wang,4.30,143,71
1847,The Past Is Red,Catherynne M. Valente,4.11,"5,383",71
1848,Only Birds Above,Portland Jones,4.09,46,71
1849,Vagablonde,Anna Dorn,3.52,572,71
1850,Such a Quiet Place,Megan Miranda,3.46,"72,140",71
1851,The Forevers,Chris Whitaker,3.31,"1,099",71
1852,"Asterix and the Griffin (Asterix, #39)",Jean-Yves Ferri,3.68,"3,316",71
1853,"The Last Remains (Ruth Galloway, #15)",Elly Griffiths,4.41,"19,123",71
1854,Beasts and Beauty,Soman Chainani,3.80,"8,221",71
1855,Plain Bad Heroines,Emily M. Danforth,3.65,"26,297",71
1856,Sempiterno (Extraños #2),Joana Marcús,4.54,"14,732",71
1857,The Life of the Mind,Christine Smallwood,3.28,"2,904",71
1858,The Friendship List,Susan Mallery,3.82,"13,673",70
1859,"Red, White, and Black: Rescuing American History from Revisionists and Race Hustlers",Robert L. Woodson Sr.,4.43,332,70
1860,The Speckled Beauty: A Dog and His People,Rick Bragg,4.45,"5,172",70
1861,Beautiful Little Fools,Jillian Cantor,4.02,"12,475",70
1862,Here in the Real World,Sara Pennypacker,4.07,"4,372",70
1863,"The Bone Shard Emperor (The Drowning Empire, #2)",Andrea Stewart,4.08,"12,676",70
1864,The Girl from Widow Hills,Megan Miranda,3.70,"58,721",70
1865,The Invention of Sound,Chuck Palahniuk,3.48,"8,291",70
1866,Near the Bone,Christina Henry,3.72,"16,985",70
1867,Angelika Frankenstein Makes Her Match,Sally Thorne,3.33,"13,175",70
1868,Toxic Superfoods: How Oxalate Overload Is Making You Sick— And How to Get Better,Sally K. Norton MPH,"really liked it
4.00",551,70
1869,Earth Keeper: Reflections on the American Land,N. Scott Momaday,4.23,"1,736",70
1870,Etéreo (Extraños #1),Joana Marcús,4.54,"18,954",70
1871,Into the Bright Sunshine: Young Hubert Humphrey and the Fight for Civil Rights,Samuel G. Freedman,4.31,265,70
1872,The Woman in the Library,Sulari Gentill,3.51,"74,565",70
1873,Irresistible Revolution: Marxism's Goal of Conquest & the Unmaking of the American Military,Matthew Lohmeier,4.58,508,69
1874,"Chaos at Prescott High (The Havoc Boys, #2)",C.M. Stunich,4.26,"19,770",69
1875,The Santa Suit,Mary Kay Andrews,3.82,"50,615",69
1876,The Subtweet,Vivek Shraya,3.70,"3,889",69
1877,Interior Chinatown,Charles Yu,3.97,"61,039",69
1878,Every Bone a Prayer,Ashley Blooms,3.53,"1,854",69
1879,People From My Neighbourhood,Hiromi Kawakami,3.53,"10,364",69
1880,The Comfort Book,Matt Haig,4.07,"62,930",69
1881,Maniac: The Bath School Disaster and the Birth of the Modern Mass Killer,Harold Schechter,3.76,"3,233",69
1882,Thank You for Listening,Julia Whelan,"really liked it
4.00","78,228",69
1883,The Unfolding,A.M. Homes,3.36,"1,946",69
1884,"Sabotage (L.O.R.D.S., #4)",Shantel Tessier,3.82,"53,489",69
1885,Itty-Bitty Kitty-Corn: A Picture Book,Shannon Hale,4.10,"2,091",69
1886,"Vendida (Sinergia, 1)",Axael Velasquez,3.92,"1,615",69
1887,"A Dangerous Kind of Lady (Longhope Abbey, #2)",Mia Vincy,4.08,"2,980",68
1888,"Speaking for Myself: Faith, Freedom, and the Fight of Our Lives Inside the Trump White House",Sarah Huckabee Sanders,4.42,"3,130",68
1889,The Christmas Pig,J.K. Rowling,4.17,"33,834",68
1890,The Way of Dog,Zana Fraillon,4.42,300,68
1891,女神自助餐,劉芷妤,4.24,110,68
1892,"Girl Gone Viral (Modern Love, #2)",Alisha Rai,3.70,"12,469",68
1893,"Dangerous Honor (Dragon Royals, #2)",May Dawson,4.19,"6,788",68
1894,The Ladies of the Secret Circus,Constance Sayers,3.83,"10,672",68
1895,Maureen (Harold Fry #3),Rachel Joyce,3.95,"7,590",68
1896,"The World Keeps Ending, and the World Goes On",Franny Choi,3.99,"4,025",68
1897,Dogboy v Catfish,Luke Gracias,4.08,303,68
1898,"Anti-Inflammatory Diet Solution: Heal Your Immune System, Boost Your Brain, Strengthen Your Heart",Stig Bengmark,3.90,21,68
1899,"Carnage (L.O.R.D.S., #5)",Shantel Tessier,4.31,"50,773",68
1900,I Want to Be Where the Normal People Are,Rachel Bloom,3.97,"14,942",68
1901,The Locked Door,Freida McFadden,4.03,"365,524",68
1902,Fight of the Century: Writers Reflect on 100 Years of Landmark ACLU Cases,Michael Chabon,4.22,"1,447",67
1903,Pando: A Living Wonder of Trees,Kate Allen Fox,4.46,270,67
1904,The Collector’s Daughter: A gripping and sweeping tale of unforgettable discoveries and unforgiveable secrets for 2021,Gill Paul,3.76,"3,261",67
1905,"Disfigured: On Fairy Tales, Disability, and Making Space",Amanda Leduc,4.08,"5,354",67
1906,The Girls I've Been,Tess Sharpe,4.06,"47,144",67
1907,Fire in Paradise: An American Tragedy,Alastair Gee,4.01,"1,620",67
1908,The House Across the Lake,Riley Sager,3.60,"315,840",67
1909,Code Name Sapphire,Pam Jenoff,3.87,"18,055",67
1910,The Most Beautiful Girl in Cuba (The Perez Family #4),Chanel Cleeton,3.94,"16,045",67
1911,"The Sinner (L.O.R.D.S., #2)",Shantel Tessier,4.04,"99,686",67
1912,The Year 1000: When Explorers Connected the World—and Globalization Began,Valerie Hansen,3.69,"1,695",67
1913,Hill Women: Finding Family and a Way Forward in the Appalachian Mountains,Cassie Chambers,3.96,"7,703",66
1914,Doom: The Politics of Catastrophe,Niall Ferguson,3.65,"1,896",66
1915,Elixir,Ellen Goodlett,3.80,35,66
1916,"Gilded Mess (Three Bears, #1; Cheeky Fairy Tales, #1)",Colette Rhodes,4.07,"3,736",66
1917,Impatient Griselda,Margaret Atwood,3.58,60,66
1918,Is Mother Dead,Vigdis Hjorth,3.80,"4,533",66
1919,Sisters Under the Rising Sun,Heather Morris,3.89,"12,867",66
1920,Vesper Flights,Helen Macdonald,4.10,"7,681",66
1921,Our American Friend,Anna Pitoniak,3.78,"2,897",66
1922,"Carnival Hill (The Harlequin Crew, #3)",Caroline Peckham,4.42,"12,019",66
1923,My Name Is Barbra,Barbra Streisand,4.19,"16,504",66
1924,"The Guncle Abroad (The Guncle, #2)",Steven Rowley,3.95,"31,739",66
1925,The Perfect Marriage,Jeneva Rose,3.97,"802,629",66
1926,"We Thought We Knew You: A Terrifying True Story of Secrets, Betrayal, Deception, and Murder",M. William Phelps,4.10,"3,174",65
1927,The Ogress and the Orphans,Kelly Barnhill,4.28,"7,355",65
1928,"The Merciless Ones (The Gilded Ones, #2)",Namina Forna,3.90,"10,924",65
1929,"Thief (Sterling Falls, #1)",S. Massery,4.22,"3,990",65
1930,Shiner,Amy Jo Burns,3.87,"7,356",65
1931,All My Knotted-Up Life: A Memoir,Beth Moore,4.46,"38,814",65
1932,Dinosaurs: 10 Things You Should Know,Dean R. Lomax,4.44,560,65
1933,"Drop Acid: The Surprising New Science of Uric Acid―The Key to Losing Weight, Controlling Blood Sugar, and Achieving Extraordinary Health",David Perlmutter,4.04,"1,030",65
1934,"Paradise Lagoon (The Harlequin Crew, #4)",Caroline Peckham,4.45,"10,432",65
1935,"Every Good Boy Does Fine: A Love Story, in Music Lessons",Jeremy Denk,4.04,"1,741",65
1936,The Overnight Guest,Heather Gudenkauf,4.03,"113,088",65
1937,"The Deep Rig: How Election Fraud Cost Donald J. Trump the White House, By a Man Who did not Vote for Him",Patrick M. Byrne,4.52,419,64
1938,Cleanness,Garth Greenwell,3.80,"8,942",64
1939,"Forbidden Honor (Dragon Royals, #1)",May Dawson,4.17,"9,640",64
1940,An Indiscreet Princess,Georgie Blalock,3.67,827,64
1941,Cult Classic,Sloane Crosley,3.29,"20,375",64
1942,The Haunting Season: Ghostly Tales for Long Winter Nights,Bridget Collins,3.58,"7,361",64
1943,Those We Thought We Knew,David Joy,4.30,"2,612",64
1944,"Forever and a Day - A Those Who Wait story (Those Who Wait, #1.5)",Haley Cass,4.42,"5,971",64
1945,"A Vow So Bold and Deadly (Cursebreakers, #3)",Brigid Kemmerer,3.78,"46,214",64
1946,"Enemy of All Mankind: A True Story of Piracy, Power, and History's First Global Manhunt",Steven Johnson,3.90,"3,798",64
1947,The Good Lie,A.R. Torre,4.13,"133,005",64
1948,"Wicked Heart (Born to Die, #1)",Candace Wondrak,4.12,312,63
1949,The Blue Butterfly: A Novel of Marion Davies,Leslie Johansen Nack,4.08,985,63
1950,"A Marvellous Light (The Last Binding, #1)",Freya Marske,3.96,"41,892",63
1951,The Upgrade: How the Female Brain Gets Stronger and Better in Midlife and Beyond,Louann Brizendine,3.89,444,63
1952,"The Happy Ever After Playlist (The Friend Zone, #2)",Abby Jimenez,4.18,"197,893",63
1953,"Heartless Sky (Zodiac Academy, #7)",Caroline Peckham,4.23,"80,832",63
1954,"Wrong Number, Right Woman",Jae,4.17,"3,292",63
1955,"Generations: The Real Differences Between Gen Z, Millennials, Gen X, Boomers, and Silents―and What They Mean for America's Future",Jean M. Twenge,4.05,"4,002",63
1956,Unmasked: Inside Antifa's Radical Plan to Destroy Democracy,Andy Ngo,4.17,"2,645",62
1957,"Violent Heart (A Death So Sweet, #3)",Candace Wondrak,4.06,"3,185",62
1958,Happy Hour,Jacquie Byron,3.93,"1,262",62
1959,Misfit in Love,S.K. Ali,3.91,"1,644",62
1960,Choice,Jodi Picoult,4.14,"4,112",62
1961,"Love in the Time of Bertie (44 Scotland Street, #15)",Alexander McCall Smith,4.31,"2,943",62
1962,Symphony of Secrets,Brendan Slocumb,4.27,"14,233",62
1963,Hello Stranger,Katherine Center,3.94,"112,073",62
1964,"Fated Throne (Zodiac Academy, #6)",Caroline Peckham,4.35,"103,748",62
1965,Ways and Means: Lincoln and His Cabinet and the Financing of the Civil War,Roger Lowenstein,4.24,654,62
1966,The Sins of Our Fathers (The Expanse #9.5),James S.A. Corey,4.14,"6,705",62
1967,"Bright Lights, Prairie Dust: Reflections on Life, Loss, and Love from Little House's Ma",Karen Grassle,3.35,"1,228",61
1968,Partners in Crime,Alisha Rai,3.68,"7,240",61
1969,Vladimir,Julia May Jonas,3.45,"34,235",61
1970,Radar Girls,Sara Ackerman,4.04,"8,512",61
1971,The Storyteller: Tales of Life and Music,Dave Grohl,4.47,"150,874",61
1972,Her Radiant Curse,Elizabeth Lim,4.17,"7,057",61
1973,"Cursed Fates (Zodiac Academy, #5)",Caroline Peckham,4.33,"117,295",61
1974,A Sweet Sting of Salt,Rose Sutherland,3.86,"3,401",61
1975,"Gods & Monsters (Serpent & Dove, #3)",Shelby Mahurin,3.96,"68,656",60
1976,The American Adventuress,C.W. Gortner,4.08,"1,776",60
1977,"While Justice Sleeps (Avery Keene, #1)",Stacey Abrams,3.96,"42,098",60
1978,"Strike the Zither (Kingdom of Three, #1)",Joan He,3.73,"4,216",60
1979,"Shadow Princess (Zodiac Academy, #4)",Caroline Peckham,4.28,"133,782",60
1980,The Genetic Lottery: Why DNA Matters for Social Equality,Kathryn Paige Harden,3.91,"1,371",60
1981,"Down to a Science (I Heart Sapphfic Pride Collection, #1)",Haley Cass,4.16,"4,885",60
1982,Blackout: How Black America Can Make Its Second Escape from the Democrat Plantation,Candace Owens,4.41,"14,115",59
1983,"Spy x Family, Vol. 8 (Spy × Family, #8)",Tatsuya Endo,4.52,"18,386",59
1984,Light Rains Sometimes Fall: A British Year Through Japan's 72 Seasons,Lev Parikian,4.29,170,59
1985,The Secret Book of Flora Lea,Patti Callahan Henry,4.06,"62,150",59
1986,The Murder Rule,Dervla McTiernan,3.67,"24,370",59
1987,The School for Good Mothers,Jessamine Chan,3.54,"113,434",59
1988,Alexandria: The Quest for the Lost City,Edmund Richardson,3.80,898,59
1989,The Last Green Valley,Mark T. Sullivan,4.49,"62,336",59
1990,Among the Beasts & Briars,Ashley Poston,3.77,"14,100",59
1991,"Vicious Fae (Ruthless Boys of the Zodiac, #3)",Caroline Peckham,4.36,"39,288",59
1992,"Grave Mistake (Don’t Call Me Hero, #5)",Eliza Lentzski,4.53,737,59
1993,In Pursuit of Love: One Woman’s Journey from Trafficked to Triumphant,Rebecca Bender,4.45,"1,168",58
1994,"Moon Witch, Spider King (The Dark Star Trilogy #2)",Marlon James,4.17,"4,608",58
1995,"Embrace the Darkness (Maura Quinn, #1)",Ashley N. Rostek,4.40,"5,525",58
1996,"Spy x Family, Vol. 7",Tatsuya Endo,4.38,"21,597",58
1997,You Let Me In,Camilla Bruce,3.65,"5,606",58
1998,The Eighth Detective,Alex Pavesi,3.51,"18,178",58
1999,Mirrorland,Carole Johnstone,3.61,"11,042",58
2000,"Bookish and the Beast (Once Upon a Con, #3)",Ashley Poston,3.77,"19,135",58
2001,"Broken Fae (Ruthless Boys of the Zodiac, #4)",Caroline Peckham,4.42,"35,679",58
2002,"American Midnight: The Great War, a Violent Peace, and Democracy's Forgotten Crisis",Adam Hochschild,4.21,"4,192",58
2003,The Unwilling,John Hart,4.15,"8,191",57
2004,"A Touch of Chaos (Hades x Persephone Saga, #4)",Scarlett St. Clair,3.95,"35,860",57
2005,Künstlers in Paradise,Cathleen Schine,3.52,"3,233",57
2006,"Spy x Family, Vol. 6",Tatsuya Endo,4.40,"24,506",57
2007,Did I Ever Tell You This?,Sam Neill,4.06,"4,858",57
2008,"Subtle Blood (The Will Darling Adventures, #3)",K.J. Charles,4.45,"6,485",57
2009,The Women of Chateau Lafayette,Stephanie Dray,4.26,"21,916",57
2010,Asian American Histories of the United States,Catherine Ceniza Choy,3.99,494,57
2011,Blood and Treasure: Daniel Boone and the Fight for America's First Frontier,Bob Drury,4.06,"3,225",56
2012,A Lighted Lamp: Scenes of Christmas Through Time,Donna Fletcher Crow,4.27,11,56
2013,What Souls Are Made Of: A Wuthering Heights Remix,Tasha Suri,3.82,747,56
2014,"Dynasty (Boys of Winter, #1)",Sheridan Anne,4.12,"11,049",56
2015,"Spy x Family, Vol. 4",Tatsuya Endo,4.55,"33,274",56
2016,"Not Forever, But For Now",Chuck Palahniuk,3.10,"3,953",56
2017,"The Sugared Game (The Will Darling Adventures, #2)",K.J. Charles,4.26,"7,835",56
2018,After the Fall: Being American in the World We've Made,Ben Rhodes,4.21,"4,536",56
2019,When We Were Infinite,Kelly Loy Gilbert,3.72,"1,462",56
2020,"The Scepter (The Mortal Fates, #0.1)",J. Bree,4.07,"5,220",56
2021,"Majesty (American Royals, #2)",Katharine McGee,3.75,"75,045",55
2022,The Inheritance of Orquídea Divina,Zoraida Córdova,3.93,"30,360",55
2023,The Bookshop of Second Chances,Jackie Fraser,3.58,"15,546",55
2024,Normal Rules Don't Apply,Kate Atkinson,3.71,"7,869",55
2025,"Slippery Creatures (The Will Darling Adventures, #1)",K.J. Charles,4.04,"12,322",55
2026,"Joe Biden: The Life, the Run, and What Matters Now",Evan Osnos,3.71,"3,302",55
2027,"How to Do the Work: Recognize Your Patterns, Heal from Your Past, and Create Your Self",Nicole LePera,4.14,"29,288",55
2028,"Finlay Donovan Rolls the Dice (Finlay Donovan, #4)",Elle Cosimano,3.91,"36,028",55
2029,The Diamond Eye,Kate Quinn,4.29,"154,342",55
2030,"Steel Fear (Finn Thrillers, #1)",Brandon Webb,4.22,"1,946",54
2031,Today a Woman Went Mad in the Supermarket: Stories,Hilma Wolitzer,3.75,"4,003",54
2032,"Queen Crow (Queen Crow, #3)",J. Bree,4.44,"5,581",54
2033,"Deity (Boys of Winter, #4)",Sheridan Anne,4.38,"6,185",54
2034,Love Betrayal Murder,Adam Mitzner,3.95,"1,040",54
2035,The Good Servant,Fern Britton,4.28,"1,514",54
2036,Before I Saw You,Emily Houghton,3.93,"7,535",54
2037,Private Rogue (Private #16),James Patterson,4.31,"8,300",54
2038,Apollo's Arrow: The Profound and Enduring Impact of Coronavirus on the Way We Live,Nicholas A. Christakis,4.01,"2,750",54
2039,"The Steel Beneath the Silk (The Emma of Normandy Trilogy, #3)",Patricia Bracewell,4.41,681,54
2040,No Land to Light On,Yara Zgheib,"really liked it
4.00","3,938",54
2041,"Damaged (Boys of Winter, #2)",Sheridan Anne,4.32,"7,942",54
2042,Chlorine Sky,Mahogany L. Browne,3.82,"4,100",53
2043,Only the Beautiful,Susan Meissner,4.46,"29,105",53
2044,The Witches of Vardø,Anya Bergman,3.87,"4,365",53
2045,Leslie F*cking Jones,Leslie Jones,4.11,"13,088",53
2046,Un-Trumping America: A Plan to Make America a Democracy Again,Dan Pfeiffer,4.21,"2,691",53
2047,"Emily Wilde’s Map of the Otherlands (Emily Wilde, #2)",Heather Fawcett,4.31,"49,200",53
2048,"Faye, Faraway",Helen Fisher,3.67,"3,930",53
2049,"Deviant (Boys of Winter, #3)",Sheridan Anne,4.37,"6,604",53
2050,The Last King of America: The Misunderstood Reign of George III,Andrew Roberts,4.24,"1,623",53
2051,Black Cloud Rising,David Wright Faladé,3.78,"1,107",52
2052,"When the Tiger Came Down the Mountain (The Singing Hills Cycle, #2)",Nghi Vo,4.18,"16,214",52
2053,"A Light in the Flame (Flesh and Fire, #2)",Jennifer L. Armentrout,4.50,"114,281",52
2054,X,Davey Davis,3.39,922,52
2055,Bless the Daughter Raised by a Voice in Her Head,Warsan Shire,4.21,"8,106",52
2056,Homestead,Melinda Moustakis,3.53,"2,697",52
2057,The Unsettled,Ayana Mathis,3.54,"2,834",52
2058,How Can I Help You,Laura Sims,3.42,"12,549",52
2059,"The Scorpion's Tail (Nora Kelly, #2)",Douglas Preston,4.24,"17,571",52
2060,"A World Without Soil: The Past, Present, and Precarious Future of the Earth Beneath Our Feet",Jo Handelsman,4.01,99,52
2061,A Place to Hang the Moon,Kate Albus,4.57,"18,174",51
2062,The Golden Spoon,Jessa Maxwell,3.48,"42,050",51
2063,The Final Case,David Guterson,3.12,"2,864",51
2064,Ruined,Sarah Vaughn,3.64,"2,245",51
2065,Keep Sharp: Build a Better Brain at Any Age,Sanjay Gupta,4.08,"11,309",51
2066,"The Coven (Coven of Bones, #1)",Harper L. Woods,3.82,"49,036",51
2067,Burma Sahib,Paul Theroux,3.97,"1,247",51
2068,The Fury,Alex Michaelides,3.37,"154,892",51
2069,"The Dare (Briar U, #4)",Elle Kennedy,3.76,"107,005",50
2070,"Tragic Bonds (The Bonds That Tie, #5)",J. Bree,4.22,"70,048",50
2071,"Let's Play, Vol. 2",Leeanne M. Krecic,4.33,"2,036",50
2072,Lucky Red,Claudia Cravens,3.91,"4,711",50
2073,The Quiet Tenant,Clémence Michallon,3.84,"100,847",50
2074,The Lost Cause,Cory Doctorow,3.65,"1,295",50
2075,"The Duchess Hunt (Once Upon a Dukedom, #2)",Lorraine Heath,4.09,"4,790",50
2076,Group: How One Therapist and a Circle of Strangers Saved My Life,Christie Tate,3.81,"52,618",50
2077,"The Cursed (Coven of Bones, #2)",Harper L. Woods,3.68,"22,243",50
2078,Sentient: How Animals Illuminate the Wonder of Our Human Senses,Jackie Higgins,4.21,"1,120",50
2079,"Long Island (Eilis Lacey, #2)",Colm Tóibín,3.79,"37,154",50
2080,A Libertarian Walks Into a Bear: The Utopian Plot to Liberate an American Town,Matthew Hongoltz-Hetling,3.82,"4,963",49
2081,Infinitum,Tim Fielder,4.15,295,49
2082,"Where the Truth Lives (Where, #2)",Mia Sheridan,4.40,"8,367",49
2083,Ten Lessons for a Post-Pandemic World,Fareed Zakaria,3.97,"5,665",49
2084,"Resurrection (The Sainthood - Boys of Lowell High, #1)",Siobhan Davis ™,4.20,"18,501",49
2085,"The Broken Constitution: Lincoln, Slavery, and the Refounding of America",Noah Feldman,4.14,289,49
2086,The Desert Knows Her Name,Lia Hills,3.90,179,49
2087,"The Traitor Queen (The Bridge Kingdom, #2)",Danielle L. Jensen,4.23,"107,194",48
2088,"Earl, Honey",D.S. Getson,4.53,"1,256",48
2089,"Sleep No More (The Lost Night Files, #1)",Jayne Ann Krentz,3.91,"6,756",48
2090,Dear Ava,Ilsa Madden-Mills,4.11,"52,318",48
2091,2034: A Novel of the Next World War,Elliot Ackerman,3.80,"14,915",48
2092,"Rebellion (The Sainthood - Boys of Lowell High, #2)",Siobhan Davis ™,4.29,"14,997",48
2093,Is This Anything?,Jerry Seinfeld,3.72,"23,624",48
2094,"Playboy Princes (Royals of Arbon Academy, #2)",Jaymin Eve,4.26,"9,224",47
2095,Our Lady of Perpetual Hunger: A Memoir,Lisa Donovan,3.93,"2,447",47
2096,His & Hers,Alice Feeney,4.08,"168,503",47
2097,They Knew: How a Culture of Conspiracy Keeps America Complacent,Sarah Kendzior,3.93,"1,264",47
2098,Dance Away with Me,Susan Elizabeth Phillips,4.04,"12,670",47
2099,The Twin Paradox,Charles Wachter,3.72,857,47
2100,"Reign (The Sainthood - Boys of Lowell High, #3)",Siobhan Davis ™,4.27,"12,413",47
2101,"Poison Throne (Royals of Arbon Academy, #3)",Jaymin Eve,4.13,"7,614",46
2102,This Is My America,Kim Johnson,4.46,"9,023",46
2103,Kismet,Amina Akhtar,3.52,"9,444",46
2104,Choosing Brave: How Mamie Till-Mobley and Emmett Till Sparked the Civil Rights Movement (Caldecott Honor Book),Angela Joy,4.67,"1,007",46
2105,"Marriage and Murder (Solving for Pie: Cletus and Jenn Mysteries, #2)",Penny Reid,4.35,"6,050",46
2106,The Blackout Book Club,Amy Lynn Green,3.93,"2,257",46
2107,"Knockout (Hell's Belles, #3)",Sarah MacLean,4.22,"7,427",46
2108,The Vanished Queen,Lisbeth Campbell,3.70,886,46
2109,"Lady of Darkness (Lady of Darkness, #1)",Melissa K. Roehrich,4.14,"24,972",46
2110,56 Days,Catherine Ryan Howard,3.75,"55,945",46
2111,Florence Adler Swims Forever,Rachel Beanland,3.88,"23,231",45
2112,"Once Bitten (Shadow Guild: The Rebel, #1)",Linsey Hall,"really liked it
4.00","8,965",45
2113,Bad Fat Black Girl: Notes from a Trap Feminist,Sesali Bowen,4.45,"2,167",45
2114,Trust,Hernan Diaz,3.82,"124,824",45
2115,"In Mercy, Rain (Wayward Children, #7.5)",Seanan McGuire,3.92,"2,792",45
2116,"Engagement and Espionage (Solving for Pie: Cletus and Jenn Mysteries, #1)",Penny Reid,4.20,"7,989",45
2117,Always Never,Jordi Lafebre,4.36,"8,082",45
2118,Evil Geniuses: The Unmaking of America,Kurt Andersen,4.22,"3,311",45
2119,"Lady of Shadows (Lady of Darkness, #2)",Melissa K. Roehrich,4.20,"17,609",45
2120,"River of the Gods: Genius, Courage and Betrayal in the Search for the Source of the Nile",Candice Millard,3.84,"14,643",45
2121,Between Two Trailers,J. Dana Trent,3.65,"1,892",45
2122,"Flames of Chaos (Legacy of the Nine Realms, #1)",Amelia Hutchins,3.76,"20,992",44
2123,The Summer of June,Jamie Sumner,4.22,820,44
2124,The Aquanaut: A Graphic Novel,Dan Santat,3.94,"3,393",44
2125,"Not That Duke (Would-Be Wallflowers, #3)",Eloisa James,3.97,"5,371",44
2126,"Democracy in One Book or Less: How It Works, Why It Doesn’t, and Why Fixing It Is Easier Than You Think",David Litt,4.23,807,44
2127,"Haunting Adeline (Cat and Mouse, #1)",H.D. Carlton,3.96,"589,494",44
2128,"The Ride of Her Life: The True Story of a Woman, Her Horse, and Their Last-Chance Journey Across America",Elizabeth Letts,4.23,"12,255",43
2129,Credence,Penelope Douglas,3.68,"405,524",43
2130,The Last to Vanish,Megan Miranda,3.55,"72,624",43
2131,"Where the Drowned Girls Go (Wayward Children, #7)",Seanan McGuire,4.05,"17,626",43
2132,The Mother Code,Carole Stivers,3.56,"2,542",43
2133,"Hunting Adeline (Cat and Mouse, #2)",H.D. Carlton,4.10,"396,617",43
2134,"Nine Nasty Words: English in the Gutter — Then, Now, and Forever",John McWhorter,3.95,"3,774",43
2135,Stepbrothers' Darling,K.A. Knight,"really liked it
4.00","5,888",42
2136,"False Alarm: How Climate Change Panic Costs Us Trillions, Hurts the Poor, and Fails to Fix the Planet",Bjørn Lomborg,4.19,"2,412",42
2137,"My Heart Is a Chainsaw (The Indian Lake Trilogy, #1)",Stephen Graham Jones,3.54,"42,504",42
2138,"Ambush or Adore (Delightfully Deadly, #3)",Gail Carriger,4.17,"2,111",42
2139,"Journey of the Pharaohs (NUMA Files, #17)",Clive Cussler,4.28,"6,804",42
2140,"The Book of Azrael (Gods and Monsters, #1)",Amber V. Nicole,4.13,"61,062",42
2141,Shakespeare in a Divided America: What His Plays Tell Us about Our Past and Future,James Shapiro,4.10,"3,027",42
2142,Time Is a Mother,Ocean Vuong,3.94,"29,887",41
2143,The Boys,Katie Hafner,3.85,"3,405",41
2144,Unspeakable: The Tulsa Race Massacre,Carole Boston Weatherford,4.48,"4,030",41
2145,"The Storm Before the Calm: America's Discord, the Coming Crisis of the 2020s, and the Triumph Beyond",George Friedman,4.05,"2,072",41
